entity,gender
Tim Page,M
Roland Mesnier,
Margaret Maruani,
Rolf Kühn,
Jonathan Destin,M
François Chazel,M
Anshu Jain,M
Jean Baechler,M
Joseph Delaney,M
Hanae Mori,F
Wolfgang Petersen,M
Antoine Poncet,M
Déwé Gorodey,F
Nicholas Evans,M
Zvika Pick,F
Rakesh Jhunjhunwala,M
Anne Heche,F
Jean-Jacques Sempé,M
Olivia Newton-John,F
David McCullough,M
Issey Miyake,M
Daniel Lévi,M
Emmanuel Faux,M
Christian Barbier,M
Lucien Kroll,M
Yvonne Baby,F
Ayman Al-Zawahiri,M
Bill Russell,M
Christophe Izard,M
Eric Viennot,M
Nichelle Nichols,F
Fidel Ramos,M
Jean Bobet,M
Pietro Citati,M
Jean-Luc Parant,M
Anne-Marie Garat,F
Irina Ionesco,F
Frédéric Sève,M
Lord David Trimble,M
David Warner,M
Philippe Cohen,M
Paul Sorvino,M
